county,year,quarter,taxable_sales,taxable_purchases,total
Bottineau,2022,3,26407960,314661,26722621
Bottineau,2022,4,24039588,831306,24870894
Bottineau,2023,1,19787574,306049,20093623
Bottineau,2023,2,24681416,472144,25153560
Bottineau,2023,3,28047686,138778,28186464
Bottineau,2023,4,24420467,334492,24754959
Bottineau,2024,1,24877423,297890,25175313
Bottineau,2024,2,26872914,325038,27197952
Bottineau,2024,3,34098221,1163039,35261260
Bottineau,2024,4,31616911,524506,32141417
Bottineau,2025,1,18468274,516692,18984966
Bottineau,2025,2,33032719,1095022,34127741
Bottineau,2025,3,28748623,656672,29405295
Bottineau,2025,4,27668019,749142,28417161
Bottineau,2026,1,24499548,435526,24935074
Bottineau,2026,2,27605408,403069,28008477
Bowman,2019,1,7510428,894401,8404829
Bowman,2019,2,11053573,1079384,12132957
Bowman,2019,3,9972427,990742,10963169
Bowman,2019,4,8319762,1436828,9756590
Bowman,2020,1,6757716,817150,7574866
Bowman,2020,2,7184242,925663,8109905
Bowman,2020,3,8769902,921943,9691845
Bowman,2020,4,10340977,1059959,11400936
Bowman,2021,1,7051048,808950,7859998
Bowman,2021,2,10641244,1025263,11666507
Bowman,2021,3,9119906,1472578,10592484
Bowman,2021,4,10248488,1373025,11621513
Bowman,2022,1,6665652,1354855,8020507
Bowman,2022,2,9253652,916886,10170538
Bowman,2022,3,12764512,1339818,14104330
Bowman,2022,4,11968739,1083101,13051840
Bowman,2023,1,7226571,861890,8088461
Bowman,2023,2,11193138,750887,11944025
Bowman,2023,3,11193710,1099179,12292889
Bowman,2023,4,11720270,1404421,13124691
Bowman,2024,1,9289224,736701,10025925
Bowman,2024,2,11827037,1321760,13148797
Bowman,2024,3,11812673,4046108,15858781
Bowman,2024,4,14799766,3031123,17830889
Bowman,2025,1,7772314,3691652,11463966
Bowman,2025,2,11282979,4137726,15420705
Bowman,2025,3,12667068,4078182,16745250
Bowman,2025,4,14409678,3036290,17445968
Bowman,2026,1,10052730,1485512,11538242
Bowman,2026,2,11747051,1151762,12898813
Burke,2019,1,2823717,4614498,7438215
Burke,2019,2,3517249,4796346,8313595
Burke,2019,3,3713156,3179338,6892494
Burke,2019,4,3765294,848615,4613909
Burke,2020,1,2747944,423197,3171141
Burke,2020,2,2545384,261595,2806979
Burke,2020,3,3536418,32904,3569322
Burke,2020,4,4085580,130115,4215695
Burke,2021,1,2465296,160624,2625920
Burke,2021,2,3243946,938037,4181983
Burke,2021,3,3657342,8302,3665644
Burke,2021,4,4212502,11188,4223690
Burke,2022,1,2571668,5381,2577049
Burke,2022,2,3092259,146885,3239144
Burke,2022,3,4399772,350919,4750691
Burke,2022,4,4490019,405549,4895568
Burke,2023,1,2526758,85920,2612678
Burke,2023,2,3827474,44710,3872184
Burke,2023,3,4469579,133057,4602636
Burke,2023,4,4591534,60396,4651930
Burke,2024,1,2781182,351239,3132421
Burke,2024,2,3004394,291148,3295542
Burke,2024,3,4138128,214945,4353073
Burke,2024,4,4635234,106276,4741510
Burke,2025,1,2664845,69819,2734664
Burke,2025,2,3712231,413212,4125443
Burke,2025,3,4976554,287753,5264307
Burke,2025,4,5068376,623317,5691693
Burke,2026,1,2723695,196886,2920581
Burke,2026,2,3899814,8236,3908050
Burleigh,2019,1,302025360,15402778,317428138
Burleigh,2019,2,400957045,21755964,422713009
Burleigh,2019,3,399237236,25099643,424336879
Burleigh,2019,4,393775450,28586369,422361819
Burleigh,2020,1,303206346,21988633,325194979
Burleigh,2020,2,363485604,24849674,388335278
Burleigh,2020,3,373333646,25759481,399093127
Burleigh,2020,4,382169295,25232891,407402186
Burleigh,2021,1,343584582,19212636,362797218
Burleigh,2021,2,440642711,24786470,465429181
Burleigh,2021,3,397566981,24881801,422448782
Burleigh,2021,4,397345075,24644942,421990017
Burleigh,2022,1,341466465,20151610,361618075
Burleigh,2022,2,431806626,24601446,456408072
Burleigh,2022,3,439232652,33580945,472813597
Burleigh,2022,4,411878276,32753964,444632240
Burleigh,2023,1,360034424,24423577,384458001
Burleigh,2023,2,450759228,29946770,480705998
Burleigh,2023,3,446524131,29576076,476100207
Burleigh,2023,4,430367408,33731444,464098852
Burleigh,2024,1,355347999,24865907,380213906
Burleigh,2024,2,454879873,26303101,481182974
Burleigh,2024,3,443793173,34928365,478721538
Burleigh,2024,4,428925986,34432625,463358611
Burleigh,2025,1,363687441,24839969,388527410
Burleigh,2025,2,467902072,40725220,508627292
Burleigh,2025,3,449580598,30670445,480251043
Burleigh,2025,4,448545016,31473236,480018252
Burleigh,2026,1,382589667,27662768,410252435
Burleigh,2026,2,477972860,36188030,514160890
Cass,2019,1,544499783,50945572,595445355
Cass,2019,2,714993882,73174531,788168413
Cass,2019,3,732472734,83745973,816218707
Cass,2019,4,711120084,96829914,807949998
Cass,2020,1,538954724,60002025,598956749
Cass,2020,2,625772482,65465250,691237732
Cass,2020,3,722827930,70240778,793068708
Cass,2020,4,706991291,83016545,790007836
Cass,2021,1,639802480,68829121,708631601
Cass,2021,2,838219230,85208855,923428085
Cass,2021,3,828336998,89977808,918314806
Cass,2021,4,764360052,112494000,876854052
Cass,2022,1,630649398,96680827,727330225
Cass,2022,2,837558150,109519052,947077202
Cass,2022,3,894111908,125637231,1019749139
Cass,2022,4,830415844,127825503,958241347
Cass,2023,1,677184242,93761322,770945564
Cass,2023,2,890117212,103776981,993894193
Cass,2023,3,900516997,106087746,1006604743
Cass,2023,4,837097387,111159812,948257199
Cass,2024,1,689201422,79602556,768803978
Cass,2024,2,852050338,86622750,938673088
Cass,2024,3,874249904,101514518,975764422
Cass,2024,4,811099633,105951758,917051391
Cass,2025,1,659439217,69320450,728759667
Cass,2025,2,848214381,85524064,933738445
Cass,2025,3,878777620,108292808,987070428
Cass,2025,4,835554055,93398518,928952573
