facility,year,state,reservations,fy,share
Buffalo Gap Campground,2021,HI,1,2022,0.0128
Buffalo Gap Campground,2021,IA,1,2021,0.0128
Buffalo Gap Campground,2021,ID,1,2021,0.0128
Buffalo Gap Campground,2021,LA,1,2022,0.0128
Buffalo Gap Campground,2021,MD,1,2021,0.0128
Buffalo Gap Campground,2021,NM,1,2021,0.0128
Buffalo Gap Campground,2021,PA,1,2021,0.0128
Buffalo Gap Campground,2021,SC,1,2021,0.0128
Buffalo Gap Campground,2022,MN,52,2022,0.1229
Buffalo Gap Campground,2022,WI,28,2023,0.0662
Buffalo Gap Campground,2022,FL,22,2022,0.052
Buffalo Gap Campground,2022,CA,21,2022,0.0496
Buffalo Gap Campground,2022,ND,21,2023,0.0496
Buffalo Gap Campground,2022,MI,19,2023,0.0449
Buffalo Gap Campground,2022,OH,18,2023,0.0426
Buffalo Gap Campground,2022,WA,18,2022,0.0426
Buffalo Gap Campground,2022,IL,17,2023,0.0402
Buffalo Gap Campground,2022,PA,14,2023,0.0331
Buffalo Gap Campground,2022,NC,13,2022,0.0307
Buffalo Gap Campground,2022,MT,12,2023,0.0284
Buffalo Gap Campground,2022,OR,12,2022,0.0284
Buffalo Gap Campground,2022,TX,12,2022,0.0284
Buffalo Gap Campground,2022,VA,11,2023,0.026
Buffalo Gap Campground,2022,MD,10,2022,0.0236
Buffalo Gap Campground,2022,MO,10,2022,0.0236
Buffalo Gap Campground,2022,CO,9,2022,0.0213
Buffalo Gap Campground,2022,AZ,8,2022,0.0189
Buffalo Gap Campground,2022,IN,8,2022,0.0189
Buffalo Gap Campground,2022,NY,8,2023,0.0189
Buffalo Gap Campground,2022,NJ,7,2022,0.0165
Buffalo Gap Campground,2022,MA,6,2022,0.0142
Buffalo Gap Campground,2022,NV,6,2022,0.0142
Buffalo Gap Campground,2022,KY,5,2022,0.0118
Buffalo Gap Campground,2022,SD,5,2023,0.0118
Buffalo Gap Campground,2022,TN,5,2022,0.0118
Buffalo Gap Campground,2022,UT,5,2022,0.0118
Buffalo Gap Campground,2022,IA,4,2022,0.0095
Buffalo Gap Campground,2022,NE,4,2022,0.0095
Buffalo Gap Campground,2022,AL,3,2023,0.0071
Buffalo Gap Campground,2022,DC,3,2022,0.0071
Buffalo Gap Campground,2022,ID,3,2022,0.0071
Buffalo Gap Campground,2022,NH,3,2022,0.0071
Buffalo Gap Campground,2022,VT,3,2023,0.0071
Buffalo Gap Campground,2022,WY,3,2022,0.0071
Buffalo Gap Campground,2022,CT,2,2023,0.0047
Buffalo Gap Campground,2022,LA,2,2022,0.0047
Buffalo Gap Campground,2022,ME,2,2022,0.0047
Buffalo Gap Campground,2022,SC,2,2022,0.0047
Buffalo Gap Campground,2022,AA,1,2022,0.0024
Buffalo Gap Campground,2022,AK,1,2022,0.0024
Buffalo Gap Campground,2022,AR,1,2022,0.0024
Buffalo Gap Campground,2022,DE,1,2022,0.0024
Buffalo Gap Campground,2022,NM,1,2022,0.0024
Buffalo Gap Campground,2022,OK,1,2022,0.0024
Buffalo Gap Campground,2022,WV,1,2022,0.0024
Buffalo Gap Campground,2023,MN,75,2023,0.1807
Buffalo Gap Campground,2023,WI,27,2023,0.0651
Buffalo Gap Campground,2023,OH,19,2023,0.0458
Buffalo Gap Campground,2023,CO,18,2023,0.0434
Buffalo Gap Campground,2023,CA,14,2023,0.0337
Buffalo Gap Campground,2023,NC,14,2023,0.0337
Buffalo Gap Campground,2023,OR,14,2023,0.0337
Buffalo Gap Campground,2023,WA,13,2023,0.0313
Buffalo Gap Campground,2023,IL,12,2023,0.0289
Buffalo Gap Campground,2023,MT,12,2023,0.0289
Buffalo Gap Campground,2023,ND,12,2023,0.0289
Buffalo Gap Campground,2023,VA,12,2023,0.0289
Buffalo Gap Campground,2023,TX,11,2023,0.0265
Buffalo Gap Campground,2023,FL,10,2023,0.0241
Buffalo Gap Campground,2023,GA,10,2023,0.0241
Buffalo Gap Campground,2023,MI,10,2023,0.0241
Buffalo Gap Campground,2023,NY,10,2023,0.0241
Buffalo Gap Campground,2023,AZ,9,2023,0.0217
Buffalo Gap Campground,2023,UT,9,2023,0.0217
Buffalo Gap Campground,2023,PA,8,2023,0.0193
Buffalo Gap Campground,2023,MD,7,2023,0.0169
Buffalo Gap Campground,2023,NV,7,2023,0.0169
Buffalo Gap Campground,2023,MA,6,2023,0.0145
Buffalo Gap Campground,2023,MO,6,2023,0.0145
Buffalo Gap Campground,2023,SD,6,2023,0.0145
Buffalo Gap Campground,2023,TN,6,2023,0.0145
Buffalo Gap Campground,2023,IN,5,2023,0.012
Buffalo Gap Campground,2023,NJ,5,2023,0.012
Buffalo Gap Campground,2023,DC,4,2023,0.0096
Buffalo Gap Campground,2023,KY,4,2023,0.0096
Buffalo Gap Campground,2023,ME,4,2023,0.0096
Buffalo Gap Campground,2023,VT,4,2023,0.0096
Buffalo Gap Campground,2023,AK,3,2023,0.0072
Buffalo Gap Campground,2023,IA,3,2023,0.0072
Buffalo Gap Campground,2023,MS,3,2023,0.0072
Buffalo Gap Campground,2023,NE,3,2023,0.0072
Buffalo Gap Campground,2023,NM,3,2023,0.0072
Buffalo Gap Campground,2023,WY,3,2023,0.0072
Buffalo Gap Campground,2023,AR,2,2023,0.0048
Buffalo Gap Campground,2023,ID,2,2023,0.0048
Buffalo Gap Campground,2023,KS,2,2023,0.0048
Buffalo Gap Campground,2023,OK,2,2023,0.0048
Buffalo Gap Campground,2023,SC,2,2023,0.0048
Buffalo Gap Campground,2023,AL,1,2023,0.0024
Buffalo Gap Campground,2023,CT,1,2023,0.0024
Buffalo Gap Campground,2023,HI,1,2023,0.0024
Buffalo Gap Campground,2023,WV,1,2023,0.0024
Buffalo Gap Campground,2024,MN,55,2024,0.1459
Buffalo Gap Campground,2024,WI,27,2024,0.0716
Buffalo Gap Campground,2024,TX,22,2024,0.0584
Buffalo Gap Campground,2024,MT,21,2024,0.0557
Buffalo Gap Campground,2024,FL,18,2024,0.0477
Buffalo Gap Campground,2024,WA,17,2024,0.0451
Buffalo Gap Campground,2024,IL,16,2024,0.0424
Buffalo Gap Campground,2024,MI,14,2024,0.0371
Buffalo Gap Campground,2024,OH,13,2024,0.0345
Buffalo Gap Campground,2024,OR,12,2024,0.0318
Buffalo Gap Campground,2024,CA,11,2024,0.0292
Buffalo Gap Campground,2024,IN,10,2024,0.0265
Buffalo Gap Campground,2024,IA,9,2024,0.0239
Buffalo Gap Campground,2024,CO,8,2024,0.0212
Buffalo Gap Campground,2024,KY,8,2024,0.0212
Buffalo Gap Campground,2024,NC,8,2024,0.0212
Buffalo Gap Campground,2024,VA,8,2024,0.0212
Buffalo Gap Campground,2024,AL,7,2024,0.0186
Buffalo Gap Campground,2024,AZ,7,2024,0.0186
Buffalo Gap Campground,2024,NY,7,2024,0.0186
Buffalo Gap Campground,2024,MO,6,2024,0.0159
Buffalo Gap Campground,2024,NH,6,2024,0.0159
Buffalo Gap Campground,2024,SD,6,2024,0.0159
Buffalo Gap Campground,2024,MD,5,2024,0.0133
Buffalo Gap Campground,2024,NJ,5,2024,0.0133
Buffalo Gap Campground,2024,PA,5,2024,0.0133
Buffalo Gap Campground,2024,TN,5,2024,0.0133
Buffalo Gap Campground,2024,MA,4,2024,0.0106
Buffalo Gap Campground,2024,NV,4,2024,0.0106
Buffalo Gap Campground,2024,OK,4,2024,0.0106
Buffalo Gap Campground,2024,SC,4,2024,0.0106
Buffalo Gap Campground,2024,GA,3,2024,0.008
Buffalo Gap Campground,2024,ME,3,2024,0.008
Buffalo Gap Campground,2024,ND,3,2024,0.008
Buffalo Gap Campground,2024,NE,3,2024,0.008
Buffalo Gap Campground,2024,NM,3,2024,0.008
Buffalo Gap Campground,2024,ID,2,2024,0.0053
Buffalo Gap Campground,2024,AK,1,2024,0.0027
Buffalo Gap Campground,2024,CT,1,2024,0.0027
Buffalo Gap Campground,2024,DC,1,2024,0.0027
Buffalo Gap Campground,2024,KS,1,2024,0.0027
Buffalo Gap Campground,2024,MS,1,2024,0.0027
Buffalo Gap Campground,2024,RI,1,2024,0.0027
Buffalo Gap Campground,2024,UT,1,2024,0.0027
Buffalo Gap Campground,2024,WV,1,2024,0.0027
Buffalo Gap Campground,2025,MN,94,2025,0.1462
Buffalo Gap Campground,2025,WI,58,2025,0.0902
Buffalo Gap Campground,2025,MI,43,2025,0.0669
Buffalo Gap Campground,2025,CA,37,2025,0.0575
Buffalo Gap Campground,2025,ND,28,2025,0.0435
Buffalo Gap Campground,2025,FL,25,2025,0.0389
Buffalo Gap Campground,2025,MT,23,2025,0.0358
Buffalo Gap Campground,2025,TX,23,2025,0.0358
Buffalo Gap Campground,2025,OH,22,2025,0.0342
Buffalo Gap Campground,2025,WA,22,2025,0.0342
Buffalo Gap Campground,2025,CO,21,2025,0.0327
Buffalo Gap Campground,2025,IN,19,2025,0.0295
Buffalo Gap Campground,2025,OR,16,2025,0.0249
Buffalo Gap Campground,2025,IL,15,2025,0.0233
Buffalo Gap Campground,2025,NY,15,2025,0.0233
Buffalo Gap Campground,2025,ID,13,2025,0.0202
Buffalo Gap Campground,2025,MD,13,2025,0.0202
Buffalo Gap Campground,2025,PA,13,2025,0.0202
Buffalo Gap Campground,2025,TN,13,2025,0.0202
Buffalo Gap Campground,2025,VA,12,2025,0.0187
Buffalo Gap Campground,2025,AZ,10,2025,0.0156
Buffalo Gap Campground,2025,IA,10,2025,0.0156
Buffalo Gap Campground,2025,SD,9,2025,0.014
Buffalo Gap Campground,2025,NC,8,2025,0.0124
Buffalo Gap Campground,2025,MA,6,2025,0.0093
Buffalo Gap Campground,2025,NJ,6,2025,0.0093
Buffalo Gap Campground,2025,AR,5,2025,0.0078
Buffalo Gap Campground,2025,CT,5,2025,0.0078
Buffalo Gap Campground,2025,KS,5,2025,0.0078
Buffalo Gap Campground,2025,KY,5,2025,0.0078
Buffalo Gap Campground,2025,SC,5,2025,0.0078
Buffalo Gap Campground,2025,UT,5,2025,0.0078
Buffalo Gap Campground,2025,WV,5,2025,0.0078
Buffalo Gap Campground,2025,GA,4,2025,0.0062
Buffalo Gap Campground,2025,ME,4,2025,0.0062
Buffalo Gap Campground,2025,MO,4,2025,0.0062
Buffalo Gap Campground,2025,WY,4,2025,0.0062
Buffalo Gap Campground,2025,AL,3,2025,0.0047
Buffalo Gap Campground,2025,DE,2,2025,0.0031
Buffalo Gap Campground,2025,MS,2,2025,0.0031
Buffalo Gap Campground,2025,NE,2,2025,0.0031
Buffalo Gap Campground,2025,NV,2,2025,0.0031
Buffalo Gap Campground,2025,OK,2,2025,0.0031
Buffalo Gap Campground,2025,AK,1,2025,0.0016
Buffalo Gap Campground,2025,DC,1,2025,0.0016
Buffalo Gap Campground,2025,NH,1,2025,0.0016
Buffalo Gap Campground,2025,NM,1,2025,0.0016
Buffalo Gap Campground,2025,VT,1,2025,0.0016
CCC Campground,2021,PA,1,2021,0.25
CCC Campground,2021,SD,1,2021,0.25
CCC Campground,2021,WA,1,2021,0.25
CCC Campground,2021,WI,1,2021,0.25
CCC Campground,2022,MN,6,2022,0.1667
CCC Campground,2022,OR,4,2023,0.1111
CCC Campground,2022,CA,2,2022,0.0556
CCC Campground,2022,MA,2,2022,0.0556
CCC Campground,2022,MI,2,2022,0.0556
CCC Campground,2022,NC,2,2022,0.0556
CCC Campground,2022,ND,2,2022,0.0556
CCC Campground,2022,NY,2,2022,0.0556
CCC Campground,2022,VA,2,2022,0.0556
CCC Campground,2022,WA,2,2022,0.0556
CCC Campground,2022,AL,1,2023,0.0278
CCC Campground,2022,AZ,1,2022,0.0278
CCC Campground,2022,FL,1,2022,0.0278
CCC Campground,2022,IN,1,2022,0.0278
CCC Campground,2022,MO,1,2022,0.0278
CCC Campground,2022,MT,1,2022,0.0278
CCC Campground,2022,NJ,1,2022,0.0278
CCC Campground,2022,NV,1,2022,0.0278
CCC Campground,2022,VT,1,2022,0.0278
CCC Campground,2022,WI,1,2022,0.0278
CCC Campground,2023,MN,16,2023,0.1081
CCC Campground,2023,CA,11,2023,0.0743
CCC Campground,2023,NC,9,2023,0.0608
CCC Campground,2023,FL,8,2023,0.0541
CCC Campground,2023,ND,7,2023,0.0473
CCC Campground,2023,IL,6,2023,0.0405
CCC Campground,2023,MI,6,2023,0.0405
CCC Campground,2023,TX,6,2023,0.0405
CCC Campground,2023,WA,6,2023,0.0405
CCC Campground,2023,AZ,5,2023,0.0338
CCC Campground,2023,WI,5,2023,0.0338
CCC Campground,2023,CO,4,2023,0.027
CCC Campground,2023,IA,4,2023,0.027
CCC Campground,2023,IN,4,2023,0.027
CCC Campground,2023,OH,4,2023,0.027
CCC Campground,2023,PA,4,2023,0.027
CCC Campground,2023,SD,4,2023,0.027
CCC Campground,2023,TN,4,2023,0.027
CCC Campground,2023,GA,3,2023,0.0203
CCC Campground,2023,MA,3,2023,0.0203
CCC Campground,2023,NY,3,2023,0.0203
CCC Campground,2023,OR,3,2023,0.0203
CCC Campground,2023,AL,2,2023,0.0135
CCC Campground,2023,CT,2,2023,0.0135
CCC Campground,2023,MO,2,2023,0.0135
CCC Campground,2023,MT,2,2023,0.0135
CCC Campground,2023,VA,2,2023,0.0135
CCC Campground,2023,AK,1,2023,0.0068
CCC Campground,2023,AR,1,2023,0.0068
CCC Campground,2023,KS,1,2023,0.0068
CCC Campground,2023,LA,1,2023,0.0068
CCC Campground,2023,MD,1,2023,0.0068
CCC Campground,2023,ME,1,2023,0.0068
CCC Campground,2023,NH,1,2023,0.0068
CCC Campground,2023,NJ,1,2023,0.0068
CCC Campground,2023,NM,1,2023,0.0068
CCC Campground,2023,NV,1,2023,0.0068
CCC Campground,2023,OK,1,2023,0.0068
CCC Campground,2023,UT,1,2023,0.0068
CCC Campground,2023,VT,1,2023,0.0068
CCC Campground,2024,MN,17,2024,0.1259
CCC Campground,2024,TX,11,2024,0.0815
CCC Campground,2024,CA,7,2024,0.0519
CCC Campground,2024,CO,6,2024,0.0444
CCC Campground,2024,IA,6,2024,0.0444
CCC Campground,2024,NC,6,2024,0.0444
CCC Campground,2024,VA,6,2024,0.0444
CCC Campground,2024,WA,6,2024,0.0444
CCC Campground,2024,WI,6,2024,0.0444
CCC Campground,2024,FL,5,2024,0.037
CCC Campground,2024,MA,5,2024,0.037
CCC Campground,2024,MI,5,2024,0.037
CCC Campground,2024,IN,4,2024,0.0296
CCC Campground,2024,ND,4,2024,0.0296
CCC Campground,2024,NY,4,2024,0.0296
CCC Campground,2024,TN,4,2024,0.0296
CCC Campground,2024,AZ,3,2024,0.0222
CCC Campground,2024,GA,3,2024,0.0222
CCC Campground,2024,MO,3,2024,0.0222
CCC Campground,2024,PA,3,2024,0.0222
CCC Campground,2024,IL,2,2024,0.0148
CCC Campground,2024,KY,2,2024,0.0148
CCC Campground,2024,MD,2,2024,0.0148
CCC Campground,2024,MT,2,2024,0.0148
CCC Campground,2024,OH,2,2024,0.0148
CCC Campground,2024,SD,2,2024,0.0148
CCC Campground,2024,AK,1,2024,0.0074
CCC Campground,2024,AL,1,2024,0.0074
CCC Campground,2024,AR,1,2024,0.0074
CCC Campground,2024,ME,1,2024,0.0074
CCC Campground,2024,NE,1,2024,0.0074
CCC Campground,2024,NH,1,2024,0.0074
CCC Campground,2024,NV,1,2024,0.0074
CCC Campground,2024,OK,1,2024,0.0074
CCC Campground,2024,UT,1,2024,0.0074
CCC Campground,2025,MN,38,2025,0.0955
CCC Campground,2025,ND,35,2025,0.0879
CCC Campground,2025,FL,26,2025,0.0653
CCC Campground,2025,WI,20,2025,0.0503
CCC Campground,2025,WA,18,2025,0.0452
CCC Campground,2025,CO,17,2025,0.0427
CCC Campground,2025,TX,17,2025,0.0427
CCC Campground,2025,AZ,15,2025,0.0377
CCC Campground,2025,MI,14,2025,0.0352
CCC Campground,2025,OH,12,2025,0.0302
CCC Campground,2025,CA,11,2025,0.0276
CCC Campground,2025,MD,11,2025,0.0276
CCC Campground,2025,PA,11,2025,0.0276
CCC Campground,2025,IL,10,2025,0.0251
CCC Campground,2025,IN,10,2025,0.0251
CCC Campground,2025,NC,10,2025,0.0251
CCC Campground,2025,NY,8,2025,0.0201
CCC Campground,2025,NM,7,2025,0.0176
CCC Campground,2025,TN,7,2025,0.0176
CCC Campground,2025,SC,6,2025,0.0151
CCC Campground,2025,SD,6,2025,0.0151
CCC Campground,2025,GA,5,2025,0.0126
CCC Campground,2025,IA,5,2025,0.0126
CCC Campground,2025,KY,5,2025,0.0126
CCC Campground,2025,MO,5,2025,0.0126
CCC Campground,2025,MT,5,2025,0.0126
CCC Campground,2025,NH,5,2025,0.0126
CCC Campground,2025,VA,5,2025,0.0126
CCC Campground,2025,ID,4,2025,0.0101
CCC Campground,2025,RI,4,2025,0.0101
CCC Campground,2025,UT,4,2025,0.0101
CCC Campground,2025,WY,4,2025,0.0101
CCC Campground,2025,ME,3,2025,0.0075
CCC Campground,2025,NE,3,2025,0.0075
CCC Campground,2025,NJ,3,2025,0.0075
CCC Campground,2025,NV,3,2025,0.0075
CCC Campground,2025,OK,3,2025,0.0075
CCC Campground,2025,OR,3,2025,0.0075
CCC Campground,2025,WV,3,2025,0.0075
CCC Campground,2025,AR,2,2025,0.005
CCC Campground,2025,CT,2,2025,0.005
CCC Campground,2025,DC,2,2025,0.005
CCC Campground,2025,DE,2,2025,0.005
