fips,county,year,month,employment,labor_force,unemployment_rate,prelim
38007,Billings,2025,2,493.0,510.0,3.3,False
38007,Billings,2025,3,500.0,514.0,2.7,False
38007,Billings,2025,4,544.0,560.0,2.9,False
38007,Billings,2025,5,635.0,646.0,1.7,False
38007,Billings,2025,6,721.0,735.0,1.9,False
38007,Billings,2025,7,764.0,778.0,1.8,False
38007,Billings,2025,8,771.0,788.0,2.2,False
38007,Billings,2025,9,701.0,711.0,1.4,False
38007,Billings,2025,11,584.0,597.0,2.2,False
38007,Billings,2025,12,565.0,580.0,2.6,False
38007,Billings,2026,1,517.0,531.0,2.6,False
38007,Billings,2026,2,535.0,553.0,3.3,False
38007,Billings,2026,3,555.0,569.0,2.5,False
38007,Billings,2026,4,591.0,601.0,1.7,False
38007,Billings,2026,5,678.0,687.0,1.3,False
38007,Billings,2026,6,767.0,782.0,1.9,False
38007,Billings,2026,7,786.0,799.0,1.6,True
38011,Bowman,2015,1,1789.0,1824.0,1.9,False
38011,Bowman,2015,2,1783.0,1820.0,2.0,False
38011,Bowman,2015,3,1767.0,1806.0,2.2,False
38011,Bowman,2015,4,1799.0,1840.0,2.2,False
38011,Bowman,2015,5,1835.0,1872.0,2.0,False
38011,Bowman,2015,6,1890.0,1926.0,1.9,False
38011,Bowman,2015,7,1908.0,1942.0,1.8,False
38011,Bowman,2015,8,1938.0,1969.0,1.6,False
38011,Bowman,2015,9,1822.0,1852.0,1.6,False
38011,Bowman,2015,10,1803.0,1829.0,1.4,False
38011,Bowman,2015,11,1780.0,1810.0,1.7,False
38011,Bowman,2015,12,1780.0,1815.0,1.9,False
38011,Bowman,2016,1,1642.0,1689.0,2.8,False
38011,Bowman,2016,2,1624.0,1671.0,2.8,False
38011,Bowman,2016,3,1659.0,1720.0,3.5,False
38011,Bowman,2016,4,1690.0,1732.0,2.4,False
38011,Bowman,2016,5,1721.0,1761.0,2.3,False
38011,Bowman,2016,6,1764.0,1807.0,2.4,False
38011,Bowman,2016,7,1740.0,1778.0,2.1,False
38011,Bowman,2016,8,1764.0,1798.0,1.9,False
38011,Bowman,2016,9,1728.0,1761.0,1.9,False
38011,Bowman,2016,10,1717.0,1746.0,1.7,False
38011,Bowman,2016,11,1684.0,1718.0,2.0,False
38011,Bowman,2016,12,1628.0,1668.0,2.4,False
38011,Bowman,2017,1,1600.0,1646.0,2.8,False
38011,Bowman,2017,2,1590.0,1626.0,2.2,False
38011,Bowman,2017,3,1665.0,1700.0,2.1,False
38011,Bowman,2017,4,1672.0,1705.0,1.9,False
38011,Bowman,2017,5,1665.0,1692.0,1.6,False
38011,Bowman,2017,6,1726.0,1758.0,1.8,False
38011,Bowman,2017,7,1648.0,1677.0,1.7,False
38011,Bowman,2017,8,1637.0,1664.0,1.6,False
38011,Bowman,2017,9,1641.0,1667.0,1.6,False
38011,Bowman,2017,10,1649.0,1672.0,1.4,False
38011,Bowman,2017,11,1580.0,1605.0,1.6,False
38011,Bowman,2017,12,1545.0,1579.0,2.2,False
38011,Bowman,2018,1,1479.0,1521.0,2.8,False
38011,Bowman,2018,2,1478.0,1514.0,2.4,False
38011,Bowman,2018,3,1490.0,1527.0,2.4,False
38011,Bowman,2018,4,1493.0,1526.0,2.2,False
38011,Bowman,2018,5,1515.0,1539.0,1.6,False
38011,Bowman,2018,6,1587.0,1619.0,2.0,False
38011,Bowman,2018,7,1531.0,1558.0,1.7,False
38011,Bowman,2018,8,1520.0,1547.0,1.7,False
38011,Bowman,2018,9,1573.0,1595.0,1.4,False
38011,Bowman,2018,10,1577.0,1596.0,1.2,False
38011,Bowman,2018,11,1530.0,1554.0,1.5,False
38011,Bowman,2018,12,1515.0,1539.0,1.6,False
38011,Bowman,2019,1,1539.0,1572.0,2.1,False
38011,Bowman,2019,2,1576.0,1604.0,1.7,False
38011,Bowman,2019,3,1604.0,1633.0,1.8,False
38011,Bowman,2019,4,1609.0,1635.0,1.6,False
38011,Bowman,2019,5,1598.0,1620.0,1.4,False
38011,Bowman,2019,6,1681.0,1709.0,1.6,False
38011,Bowman,2019,7,1575.0,1597.0,1.4,False
38011,Bowman,2019,8,1583.0,1607.0,1.5,False
38011,Bowman,2019,9,1607.0,1629.0,1.4,False
38011,Bowman,2019,10,1568.0,1590.0,1.4,False
38011,Bowman,2019,11,1469.0,1500.0,2.1,False
38011,Bowman,2019,12,1480.0,1511.0,2.1,False
38011,Bowman,2020,1,1442.0,1474.0,2.2,False
38011,Bowman,2020,2,1439.0,1469.0,2.0,False
38011,Bowman,2020,3,1439.0,1477.0,2.6,False
38011,Bowman,2020,4,1440.0,1547.0,6.9,False
38011,Bowman,2020,5,1467.0,1554.0,5.6,False
38011,Bowman,2020,6,1523.0,1587.0,4.0,False
38011,Bowman,2020,7,1456.0,1517.0,4.0,False
38011,Bowman,2020,8,1524.0,1584.0,3.8,False
38011,Bowman,2020,9,1499.0,1550.0,3.3,False
38011,Bowman,2020,10,1449.0,1497.0,3.2,False
38011,Bowman,2020,11,1400.0,1450.0,3.4,False
38011,Bowman,2020,12,1402.0,1451.0,3.4,False
38011,Bowman,2021,1,1371.0,1419.0,3.4,False
38011,Bowman,2021,2,1360.0,1404.0,3.1,False
38011,Bowman,2021,3,1414.0,1457.0,3.0,False
38011,Bowman,2021,4,1410.0,1450.0,2.8,False
38011,Bowman,2021,5,1439.0,1472.0,2.2,False
38011,Bowman,2021,6,1452.0,1493.0,2.7,False
38011,Bowman,2021,7,1433.0,1469.0,2.5,False
38011,Bowman,2021,8,1487.0,1519.0,2.1,False
38011,Bowman,2021,9,1493.0,1523.0,2.0,False
38011,Bowman,2021,10,1491.0,1516.0,1.6,False
38011,Bowman,2021,11,1427.0,1452.0,1.7,False
38011,Bowman,2021,12,1423.0,1450.0,1.9,False
38011,Bowman,2022,1,1382.0,1412.0,2.1,False
38011,Bowman,2022,2,1398.0,1427.0,2.0,False
38011,Bowman,2022,3,1447.0,1478.0,2.1,False
38011,Bowman,2022,4,1381.0,1406.0,1.8,False
38011,Bowman,2022,5,1388.0,1412.0,1.7,False
38011,Bowman,2022,6,1431.0,1460.0,2.0,False
38011,Bowman,2022,7,1367.0,1394.0,1.9,False
38011,Bowman,2022,8,1423.0,1450.0,1.9,False
38011,Bowman,2022,9,1411.0,1432.0,1.5,False
38011,Bowman,2022,10,1436.0,1457.0,1.4,False
38011,Bowman,2022,11,1376.0,1402.0,1.9,False
38011,Bowman,2022,12,1395.0,1424.0,2.0,False
38011,Bowman,2023,1,1354.0,1379.0,1.8,False
38011,Bowman,2023,2,1388.0,1411.0,1.6,False
38011,Bowman,2023,3,1408.0,1430.0,1.5,False
38011,Bowman,2023,4,1386.0,1400.0,1.0,False
38011,Bowman,2023,5,1400.0,1421.0,1.5,False
38011,Bowman,2023,6,1435.0,1459.0,1.6,False
38011,Bowman,2023,7,1392.0,1411.0,1.3,False
38011,Bowman,2023,8,1432.0,1449.0,1.2,False
38011,Bowman,2023,9,1423.0,1441.0,1.2,False
38011,Bowman,2023,10,1442.0,1460.0,1.2,False
38011,Bowman,2023,11,1397.0,1417.0,1.4,False
38011,Bowman,2023,12,1385.0,1407.0,1.6,False
38011,Bowman,2024,1,1356.0,1387.0,2.2,False
38011,Bowman,2024,2,1390.0,1424.0,2.4,False
38011,Bowman,2024,3,1420.0,1453.0,2.3,False
38011,Bowman,2024,4,1403.0,1429.0,1.8,False
38011,Bowman,2024,5,1430.0,1455.0,1.7,False
38011,Bowman,2024,6,1431.0,1460.0,2.0,False
38011,Bowman,2024,7,1420.0,1444.0,1.7,False
38011,Bowman,2024,8,1451.0,1476.0,1.7,False
38011,Bowman,2024,9,1470.0,1489.0,1.3,False
38011,Bowman,2024,10,1475.0,1496.0,1.4,False
38011,Bowman,2024,11,1413.0,1443.0,2.1,False
38011,Bowman,2024,12,1406.0,1434.0,2.0,False
38011,Bowman,2025,1,1373.0,1410.0,2.6,False
38011,Bowman,2025,2,1397.0,1437.0,2.8,False
38011,Bowman,2025,3,1402.0,1441.0,2.7,False
38011,Bowman,2025,4,1436.0,1465.0,2.0,False
38011,Bowman,2025,5,1558.0,1583.0,1.6,False
38011,Bowman,2025,6,1648.0,1677.0,1.7,False
38011,Bowman,2025,7,1679.0,1704.0,1.5,False
38011,Bowman,2025,8,1662.0,1685.0,1.4,False
38011,Bowman,2025,9,1646.0,1669.0,1.4,False
38011,Bowman,2025,11,1625.0,1649.0,1.5,False
38011,Bowman,2025,12,1624.0,1643.0,1.2,False
38011,Bowman,2026,1,1578.0,1606.0,1.7,False
38011,Bowman,2026,2,1627.0,1657.0,1.8,False
38011,Bowman,2026,3,1505.0,1538.0,2.1,False
38011,Bowman,2026,4,1496.0,1519.0,1.5,False
38011,Bowman,2026,5,1515.0,1540.0,1.6,False
38011,Bowman,2026,6,1517.0,1549.0,2.1,False
38011,Bowman,2026,7,1485.0,1511.0,1.7,True
38025,Dunn,2015,1,4207.0,4273.0,1.5,False
38025,Dunn,2015,2,4194.0,4264.0,1.6,False
38025,Dunn,2015,3,4165.0,4235.0,1.7,False
38025,Dunn,2015,4,4038.0,4111.0,1.8,False
38025,Dunn,2015,5,4048.0,4123.0,1.8,False
38025,Dunn,2015,6,4054.0,4154.0,2.4,False
38025,Dunn,2015,7,3992.0,4076.0,2.1,False
38025,Dunn,2015,8,4010.0,4099.0,2.2,False
38025,Dunn,2015,9,3845.0,3914.0,1.8,False
38025,Dunn,2015,10,3654.0,3724.0,1.9,False
38025,Dunn,2015,11,3571.0,3653.0,2.2,False
38025,Dunn,2015,12,3420.0,3509.0,2.5,False
38025,Dunn,2016,1,2046.0,2153.0,5.0,False
38025,Dunn,2016,2,2008.0,2140.0,6.2,False
38025,Dunn,2016,3,1978.0,2105.0,6.0,False
38025,Dunn,2016,4,2005.0,2134.0,6.0,False
38025,Dunn,2016,5,2072.0,2171.0,4.6,False
38025,Dunn,2016,6,2111.0,2220.0,4.9,False
38025,Dunn,2016,7,2096.0,2171.0,3.5,False
38025,Dunn,2016,8,2094.0,2168.0,3.4,False
38025,Dunn,2016,9,2037.0,2102.0,3.1,False
38025,Dunn,2016,10,1952.0,2023.0,3.5,False
38025,Dunn,2016,11,1899.0,1985.0,4.3,False
38025,Dunn,2016,12,1829.0,1921.0,4.8,False
38025,Dunn,2017,1,1804.0,1901.0,5.1,False
38025,Dunn,2017,2,1813.0,1900.0,4.6,False
38025,Dunn,2017,3,1907.0,1982.0,3.8,False
38025,Dunn,2017,4,1950.0,2021.0,3.5,False
38025,Dunn,2017,5,2013.0,2071.0,2.8,False
38025,Dunn,2017,6,2078.0,2147.0,3.2,False
38025,Dunn,2017,7,2061.0,2118.0,2.7,False
38025,Dunn,2017,8,2091.0,2148.0,2.7,False
38025,Dunn,2017,9,2095.0,2141.0,2.1,False
38025,Dunn,2017,10,2052.0,2094.0,2.0,False
38025,Dunn,2017,11,1957.0,2006.0,2.4,False
38025,Dunn,2017,12,1891.0,1940.0,2.5,False
38025,Dunn,2018,1,1866.0,1918.0,2.7,False
38025,Dunn,2018,2,1892.0,1946.0,2.8,False
38025,Dunn,2018,3,1882.0,1935.0,2.7,False
38025,Dunn,2018,4,1905.0,1949.0,2.3,False
38025,Dunn,2018,5,1922.0,1956.0,1.7,False
38025,Dunn,2018,6,1964.0,2009.0,2.2,False
38025,Dunn,2018,7,1990.0,2027.0,1.8,False
38025,Dunn,2018,8,1981.0,2022.0,2.0,False
38025,Dunn,2018,9,1983.0,2021.0,1.9,False
38025,Dunn,2018,10,1993.0,2022.0,1.4,False
38025,Dunn,2018,11,1957.0,1994.0,1.9,False
38025,Dunn,2018,12,1930.0,1975.0,2.3,False
38025,Dunn,2019,1,1954.0,2016.0,3.1,False
38025,Dunn,2019,2,1978.0,2032.0,2.7,False
38025,Dunn,2019,3,2002.0,2060.0,2.8,False
38025,Dunn,2019,4,2017.0,2066.0,2.4,False
38025,Dunn,2019,5,2057.0,2099.0,2.0,False
38025,Dunn,2019,6,2139.0,2191.0,2.4,False
38025,Dunn,2019,7,2035.0,2079.0,2.1,False
38025,Dunn,2019,8,2040.0,2076.0,1.7,False
38025,Dunn,2019,9,2085.0,2120.0,1.7,False
38025,Dunn,2019,10,2102.0,2134.0,1.5,False
38025,Dunn,2019,11,2103.0,2137.0,1.6,False
38025,Dunn,2019,12,2078.0,2116.0,1.8,False
38025,Dunn,2020,1,2078.0,2122.0,2.1,False
38025,Dunn,2020,2,2074.0,2121.0,2.2,False
38025,Dunn,2020,3,2039.0,2095.0,2.7,False
38025,Dunn,2020,4,1961.0,2101.0,6.7,False
38025,Dunn,2020,5,1869.0,2064.0,9.4,False
38025,Dunn,2020,6,1859.0,2069.0,10.1,False
38025,Dunn,2020,7,1795.0,1986.0,9.6,False
38025,Dunn,2020,8,1867.0,2042.0,8.6,False
38025,Dunn,2020,9,1829.0,1990.0,8.1,False
38025,Dunn,2020,10,1863.0,1997.0,6.7,False
38025,Dunn,2020,11,1811.0,1952.0,7.2,False
38025,Dunn,2020,12,1795.0,1926.0,6.8,False
38025,Dunn,2021,1,1782.0,1908.0,6.6,False
38025,Dunn,2021,2,1751.0,1862.0,6.0,False
38025,Dunn,2021,3,1785.0,1899.0,6.0,False
38025,Dunn,2021,4,1851.0,1959.0,5.5,False
38025,Dunn,2021,5,1913.0,2000.0,4.4,False
38025,Dunn,2021,6,1939.0,2038.0,4.9,False
38025,Dunn,2021,7,1968.0,2038.0,3.4,False
38025,Dunn,2021,8,1977.0,2043.0,3.2,False
38025,Dunn,2021,9,2005.0,2059.0,2.6,False
38025,Dunn,2021,10,1947.0,1999.0,2.6,False
38025,Dunn,2021,11,1888.0,1945.0,2.9,False
38025,Dunn,2021,12,1858.0,1912.0,2.8,False
38025,Dunn,2022,1,1873.0,1930.0,3.0,False
38025,Dunn,2022,2,1881.0,1931.0,2.6,False
38025,Dunn,2022,3,1931.0,1984.0,2.7,False
38025,Dunn,2022,4,1953.0,1994.0,2.1,False
38025,Dunn,2022,5,2008.0,2047.0,1.9,False
38025,Dunn,2022,6,2044.0,2088.0,2.1,False
38025,Dunn,2022,7,2018.0,2053.0,1.7,False
38025,Dunn,2022,8,2085.0,2121.0,1.7,False
38025,Dunn,2022,9,2040.0,2071.0,1.5,False
38025,Dunn,2022,10,2045.0,2072.0,1.3,False
38025,Dunn,2022,11,1989.0,2017.0,1.4,False
38025,Dunn,2022,12,1970.0,2012.0,2.1,False
38025,Dunn,2023,1,1913.0,1961.0,2.4,False
38025,Dunn,2023,2,1938.0,1982.0,2.2,False
38025,Dunn,2023,3,1961.0,2005.0,2.2,False
38025,Dunn,2023,4,1972.0,2010.0,1.9,False
38025,Dunn,2023,5,1978.0,2013.0,1.7,False
38025,Dunn,2023,6,1974.0,2010.0,1.8,False
38025,Dunn,2023,7,1980.0,2008.0,1.4,False
38025,Dunn,2023,8,2014.0,2047.0,1.6,False
38025,Dunn,2023,9,1987.0,2021.0,1.7,False
38025,Dunn,2023,10,1971.0,2007.0,1.8,False
38025,Dunn,2023,11,1964.0,2000.0,1.8,False
38025,Dunn,2023,12,1937.0,1974.0,1.9,False
38025,Dunn,2024,1,1912.0,1961.0,2.5,False
38025,Dunn,2024,2,1948.0,2002.0,2.7,False
38025,Dunn,2024,3,1949.0,2002.0,2.6,False
38025,Dunn,2024,4,1962.0,2004.0,2.1,False
38025,Dunn,2024,5,2002.0,2043.0,2.0,False
38025,Dunn,2024,6,2009.0,2059.0,2.4,False
38025,Dunn,2024,7,2041.0,2084.0,2.1,False
38025,Dunn,2024,8,2034.0,2085.0,2.4,False
38025,Dunn,2024,9,2020.0,2063.0,2.1,False
38025,Dunn,2024,10,2082.0,2124.0,2.0,False
38025,Dunn,2024,11,2048.0,2091.0,2.1,False
38025,Dunn,2024,12,2017.0,2068.0,2.5,False
38025,Dunn,2025,1,1916.0,1973.0,2.9,False
38025,Dunn,2025,2,1928.0,1991.0,3.2,False
38025,Dunn,2025,3,1902.0,1963.0,3.1,False
38025,Dunn,2025,4,1911.0,1961.0,2.5,False
38025,Dunn,2025,5,1938.0,1983.0,2.3,False
38025,Dunn,2025,6,1981.0,2037.0,2.7,False
38025,Dunn,2025,7,2005.0,2052.0,2.3,False
38025,Dunn,2025,8,2019.0,2073.0,2.6,False
38025,Dunn,2025,9,2020.0,2066.0,2.2,False
38025,Dunn,2025,11,2017.0,2068.0,2.5,False
38025,Dunn,2025,12,2000.0,2047.0,2.3,False
38025,Dunn,2026,1,1956.0,2030.0,3.6,False
38025,Dunn,2026,2,1988.0,2061.0,3.5,False
38025,Dunn,2026,3,1984.0,2051.0,3.3,False
38025,Dunn,2026,4,1991.0,2040.0,2.4,False
38025,Dunn,2026,5,2020.0,2066.0,2.2,False
38025,Dunn,2026,6,2009.0,2064.0,2.7,False
38025,Dunn,2026,7,2006.0,2054.0,2.3,True
38033,Golden Valley,2015,1,937.0,962.0,2.6,False
38033,Golden Valley,2015,2,928.0,952.0,2.5,False
38033,Golden Valley,2015,3,951.0,976.0,2.6,False
38033,Golden Valley,2015,4,945.0,966.0,2.2,False
38033,Golden Valley,2015,5,952.0,976.0,2.5,False
38033,Golden Valley,2015,6,1006.0,1027.0,2.0,False
38033,Golden Valley,2015,7,970.0,989.0,1.9,False
38033,Golden Valley,2015,8,993.0,1019.0,2.6,False
38033,Golden Valley,2015,9,951.0,972.0,2.2,False
38033,Golden Valley,2015,10,950.0,966.0,1.7,False
38033,Golden Valley,2015,11,950.0,969.0,2.0,False
38033,Golden Valley,2015,12,920.0,938.0,1.9,False
38033,Golden Valley,2016,1,1002.0,1029.0,2.6,False
38033,Golden Valley,2016,2,1011.0,1038.0,2.6,False
38033,Golden Valley,2016,3,1038.0,1068.0,2.8,False
38033,Golden Valley,2016,4,987.0,1013.0,2.6,False
38033,Golden Valley,2016,5,1038.0,1064.0,2.4,False
38033,Golden Valley,2016,6,1073.0,1109.0,3.2,False
38033,Golden Valley,2016,7,1039.0,1067.0,2.6,False
38033,Golden Valley,2016,8,1050.0,1074.0,2.2,False
38033,Golden Valley,2016,9,1048.0,1069.0,2.0,False
38033,Golden Valley,2016,10,1043.0,1062.0,1.8,False
38033,Golden Valley,2016,11,1002.0,1021.0,1.9,False
38033,Golden Valley,2016,12,986.0,1006.0,2.0,False
38033,Golden Valley,2017,1,973.0,997.0,2.4,False
38033,Golden Valley,2017,2,977.0,999.0,2.2,False
38033,Golden Valley,2017,3,981.0,1008.0,2.7,False
38033,Golden Valley,2017,4,994.0,1017.0,2.3,False
38033,Golden Valley,2017,5,991.0,1009.0,1.8,False
38033,Golden Valley,2017,6,1045.0,1065.0,1.9,False
38033,Golden Valley,2017,7,980.0,997.0,1.7,False
38033,Golden Valley,2017,8,981.0,998.0,1.7,False
38033,Golden Valley,2017,9,996.0,1012.0,1.6,False
38033,Golden Valley,2017,10,1010.0,1023.0,1.3,False
38033,Golden Valley,2017,11,970.0,985.0,1.5,False
38033,Golden Valley,2017,12,949.0,965.0,1.7,False
38033,Golden Valley,2018,1,946.0,966.0,2.1,False
38033,Golden Valley,2018,2,941.0,961.0,2.1,False
38033,Golden Valley,2018,3,945.0,963.0,1.9,False
38033,Golden Valley,2018,4,945.0,962.0,1.8,False
38033,Golden Valley,2018,5,985.0,997.0,1.2,False
38033,Golden Valley,2018,6,1017.0,1034.0,1.6,False
38033,Golden Valley,2018,7,962.0,973.0,1.1,False
38033,Golden Valley,2018,8,949.0,962.0,1.4,False
38033,Golden Valley,2018,9,989.0,1003.0,1.4,False
38033,Golden Valley,2018,10,948.0,965.0,1.8,False
38033,Golden Valley,2018,11,921.0,940.0,2.0,False
38033,Golden Valley,2018,12,889.0,906.0,1.9,False
38033,Golden Valley,2019,1,909.0,929.0,2.2,False
38033,Golden Valley,2019,2,909.0,928.0,2.0,False
38033,Golden Valley,2019,3,909.0,929.0,2.2,False
38033,Golden Valley,2019,4,910.0,926.0,1.7,False
38033,Golden Valley,2019,5,926.0,939.0,1.4,False
38033,Golden Valley,2019,6,953.0,968.0,1.5,False
38033,Golden Valley,2019,7,889.0,901.0,1.3,False
38033,Golden Valley,2019,8,875.0,887.0,1.4,False
38033,Golden Valley,2019,9,903.0,914.0,1.2,False
38033,Golden Valley,2019,10,921.0,930.0,1.0,False
38033,Golden Valley,2019,11,874.0,885.0,1.2,False
38033,Golden Valley,2019,12,877.0,886.0,1.0,False
38033,Golden Valley,2020,1,892.0,905.0,1.4,False
38033,Golden Valley,2020,2,891.0,906.0,1.7,False
38033,Golden Valley,2020,3,901.0,917.0,1.7,False
38033,Golden Valley,2020,4,896.0,929.0,3.6,False
38033,Golden Valley,2020,5,886.0,919.0,3.6,False
38033,Golden Valley,2020,6,936.0,972.0,3.7,False
38033,Golden Valley,2020,7,899.0,936.0,4.0,False
38033,Golden Valley,2020,8,923.0,954.0,3.2,False
38033,Golden Valley,2020,9,894.0,918.0,2.6,False
38033,Golden Valley,2020,10,926.0,951.0,2.6,False
38033,Golden Valley,2020,11,905.0,930.0,2.7,False
38033,Golden Valley,2020,12,882.0,906.0,2.6,False
38033,Golden Valley,2021,1,892.0,917.0,2.7,False
38033,Golden Valley,2021,2,893.0,920.0,2.9,False
38033,Golden Valley,2021,3,907.0,932.0,2.7,False
38033,Golden Valley,2021,4,886.0,907.0,2.3,False
38033,Golden Valley,2021,5,891.0,911.0,2.2,False
38033,Golden Valley,2021,6,922.0,947.0,2.6,False
