park,park_name,role,state,year,month,visits
BADL,Badlands NP,control,SD,1988,8,209496
BADL,Badlands NP,control,SD,1988,9,126459
BADL,Badlands NP,control,SD,1988,10,54669
BADL,Badlands NP,control,SD,1988,11,27792
BADL,Badlands NP,control,SD,1988,12,15321
BADL,Badlands NP,control,SD,1989,1,15639
BADL,Badlands NP,control,SD,1989,2,15150
BADL,Badlands NP,control,SD,1989,3,23466
BADL,Badlands NP,control,SD,1989,4,32748
BADL,Badlands NP,control,SD,1989,5,89411
BADL,Badlands NP,control,SD,1989,6,229324
BADL,Badlands NP,control,SD,1989,7,305833
BADL,Badlands NP,control,SD,1989,8,284663
BADL,Badlands NP,control,SD,1989,9,140774
BADL,Badlands NP,control,SD,1989,10,60704
BADL,Badlands NP,control,SD,1989,11,23860
BADL,Badlands NP,control,SD,1989,12,16384
BADL,Badlands NP,control,SD,1990,1,17072
BADL,Badlands NP,control,SD,1990,2,16510
BADL,Badlands NP,control,SD,1990,3,25857
BADL,Badlands NP,control,SD,1990,4,38693
BADL,Badlands NP,control,SD,1990,5,95403
BADL,Badlands NP,control,SD,1990,6,241925
BADL,Badlands NP,control,SD,1990,7,337849
BADL,Badlands NP,control,SD,1990,8,304124
BADL,Badlands NP,control,SD,1990,9,135424
BADL,Badlands NP,control,SD,1990,10,66670
BADL,Badlands NP,control,SD,1990,11,26415
BADL,Badlands NP,control,SD,1990,12,20533
BADL,Badlands NP,control,SD,1991,1,16997
BADL,Badlands NP,control,SD,1991,2,18277
BADL,Badlands NP,control,SD,1991,3,26613
BADL,Badlands NP,control,SD,1991,4,96014
BADL,Badlands NP,control,SD,1991,5,115677
BADL,Badlands NP,control,SD,1991,6,255869
BADL,Badlands NP,control,SD,1991,7,363803
BADL,Badlands NP,control,SD,1991,8,333715
BADL,Badlands NP,control,SD,1991,9,180250
BADL,Badlands NP,control,SD,1991,10,70108
BADL,Badlands NP,control,SD,1991,11,22154
BADL,Badlands NP,control,SD,1991,12,18919
BADL,Badlands NP,control,SD,1992,1,8513
BADL,Badlands NP,control,SD,1992,2,8148
BADL,Badlands NP,control,SD,1992,3,19494
BADL,Badlands NP,control,SD,1992,4,27163
BADL,Badlands NP,control,SD,1992,5,78904
BADL,Badlands NP,control,SD,1992,6,214252
BADL,Badlands NP,control,SD,1992,7,271982
BADL,Badlands NP,control,SD,1992,8,349509
BADL,Badlands NP,control,SD,1992,9,142107
BADL,Badlands NP,control,SD,1992,10,60738
BADL,Badlands NP,control,SD,1992,11,14227
BADL,Badlands NP,control,SD,1992,12,10260
BADL,Badlands NP,control,SD,1993,1,9886
BADL,Badlands NP,control,SD,1993,2,9566
BADL,Badlands NP,control,SD,1993,3,17086
BADL,Badlands NP,control,SD,1993,4,26717
BADL,Badlands NP,control,SD,1993,5,70690
BADL,Badlands NP,control,SD,1993,6,192956
BADL,Badlands NP,control,SD,1993,7,311931
BADL,Badlands NP,control,SD,1993,8,351234
BADL,Badlands NP,control,SD,1993,9,120981
BADL,Badlands NP,control,SD,1993,10,40869
BADL,Badlands NP,control,SD,1993,11,15791
BADL,Badlands NP,control,SD,1993,12,11751
BADL,Badlands NP,control,SD,1994,1,8995
BADL,Badlands NP,control,SD,1994,2,8662
