park,year,category,sector,value
BADL,2016,Jobs,Retail,67.0
BADL,2016,Jobs,Secondary Effects,231.0
BADL,2016,Jobs,Transportation,32.0
BADL,2016,Labor Income,Camping,578249.0
BADL,2016,Labor Income,Gas,411992.0
BADL,2016,Labor Income,Groceries,489426.0
BADL,2016,Labor Income,Lodging,6220350.0
BADL,2016,Labor Income,Recreation Industries,1595589.0
BADL,2016,Labor Income,Restaurants,4764167.0
BADL,2016,Labor Income,Retail,1678915.0
BADL,2016,Labor Income,Secondary Effects,8343753.0
BADL,2016,Labor Income,Transportation,853430.0
BADL,2016,Value Added,Camping,894334.0
BADL,2016,Value Added,Gas,532249.0
BADL,2016,Value Added,Groceries,731020.0
BADL,2016,Value Added,Lodging,11804784.0
BADL,2016,Value Added,Recreation Industries,2231677.0
BADL,2016,Value Added,Restaurants,6336227.0
BADL,2016,Value Added,Retail,1592186.0
BADL,2016,Value Added,Secondary Effects,15005246.0
BADL,2016,Value Added,Transportation,1933209.0
BADL,2016,Visitor Spending,Camping,1435309.0
BADL,2016,Visitor Spending,Gas,9078293.0
BADL,2016,Visitor Spending,Groceries,4087373.0
BADL,2016,Visitor Spending,Lodging,22269149.0
BADL,2016,Visitor Spending,Recreation Industries,4913845.0
BADL,2016,Visitor Spending,Restaurants,12263293.0
BADL,2016,Visitor Spending,Retail,6049046.0
BADL,2016,Visitor Spending,Secondary Effects,0.0
BADL,2016,Visitor Spending,Transportation,3650251.0
BADL,2016,Visits,Total,996263.0
BADL,2017,Economic Output,Camping,1435690.0
BADL,2017,Economic Output,Gas,1212186.0
BADL,2017,Economic Output,Groceries,1209160.0
BADL,2017,Economic Output,Lodging,22556438.0
BADL,2017,Economic Output,Recreation Industries,4956079.0
BADL,2017,Economic Output,Restaurants,12729401.0
BADL,2017,Economic Output,Retail,3087446.0
BADL,2017,Economic Output,Secondary Effects,29749165.0
BADL,2017,Economic Output,Transportation,3782226.0
BADL,2017,Jobs,Camping,30.0
BADL,2017,Jobs,Gas,21.0
BADL,2017,Jobs,Groceries,19.0
BADL,2017,Jobs,Lodging,237.0
BADL,2017,Jobs,Recreation Industries,95.0
BADL,2017,Jobs,Restaurants,229.0
BADL,2017,Jobs,Retail,68.0
BADL,2017,Jobs,Secondary Effects,225.0
BADL,2017,Jobs,Transportation,28.0
BADL,2017,Labor Income,Camping,851947.0
BADL,2017,Labor Income,Gas,605124.0
BADL,2017,Labor Income,Groceries,507495.0
BADL,2017,Labor Income,Lodging,5817159.0
BADL,2017,Labor Income,Recreation Industries,1806592.0
