year,month,visits
2019,2,376000
2019,3,542000
2019,4,624000
2019,5,993000
2019,6,1780000
2019,7,2596000
2019,8,2148000
2019,9,1160000
2019,10,839000
2019,11,542000
2019,12,611000
2020,1,540000
2020,2,488000
2020,3,436000
2020,4,361000
2020,5,626000
2020,6,1339000
2020,7,2102000
2020,8,2034000
2020,9,1488000
2020,10,824000
2020,11,443000
2020,12,451000
2021,1,405000
2021,2,380000
2021,3,569000
2021,4,583000
2021,5,1095000
2021,6,2056000
2021,7,2452000
2021,8,1863000
2021,9,1580000
2021,10,792000
2021,11,535000
2021,12,529000
2022,1,514000
2022,2,396000
2022,3,679000
2022,4,750000
2022,5,1029000
2022,6,1663000
2022,7,2159000
2022,8,1754000
2022,9,1506000
2022,10,935000
2022,11,579000
2022,12,541000
2023,1,469000
2023,2,448000
2023,3,508000
2023,4,643000
2023,5,891000
2023,6,1772000
2023,7,2522000
2023,8,1950000
2023,9,1516000
2023,10,892000
2023,11,471000
2023,12,486000
2024,1,453000
2024,2,437000
2024,3,632000
2024,4,655000
2024,5,1084000
2024,6,1938000
2024,7,2596000
2024,8,2126000
2024,9,1644000
2024,10,999000
2024,11,546000
2024,12,677000
2025,1,510000
2025,2,494000
2025,3,587000
2025,4,712000
2025,5,1099000
2025,6,1858000
2025,7,2365000
2025,8,1951000
2025,9,1602000
2025,10,983000
2025,11,555000
2025,12,526000
